name,geometry
,POINT (-17.4485287 14.7428587)
ARRET JARDIN PATTE D'OIE,POINT (-17.4435518 14.7430073)
ARRET JARDIN PATTE D'OIE,POINT (-17.4437747 14.743365)
,POINT (-17.4512197 14.7443194)
,POINT (-17.4501218 14.744412)
,POINT (-17.4690971 14.7449)
,POINT (-17.5123799 14.7446856)
,POINT (-17.5123566 14.7447118)
,POINT (-17.4552925 14.7449696)
Telenco,POINT (-17.4547695 14.7451462)
,POINT (-17.443079 14.7460636)
,POINT (-17.4668121 14.746175)
,POINT (-17.5095772 14.746366)
,POINT (-17.5131596 14.7465748)
,POINT (-17.4662977 14.746577)
ARRET CITE MONTAGNE PARCELLES,POINT (-17.4456089 14.7462716)
ARRET CITE MONTAGNE PARCELLES,POINT (-17.4453966 14.7469855)
,POINT (-17.5076943 14.7481037)
,POINT (-17.4902804 14.7481252)
,POINT (-17.514309 14.7484281)
ARRET TALLY BOU BESS PARCELLES,POINT (-17.4438396 14.7485016)
ARRET TALLY BOU BESS PARCELLES,POINT (-17.4440421 14.748502)
,POINT (-17.4912109 14.7489545)
,POINT (-17.5065781 14.7490052)
,POINT (-17.5050898 14.7496337)
,POINT (-17.4472462 14.7498692)
,POINT (-17.4476287 14.7500365)
,POINT (-17.4578768 14.7502388)
,POINT (-17.4493677 14.7502665)
,POINT (-17.4574637 14.7503656)
ARRET POLICE PARCELLES,POINT (-17.4406336 14.7503782)
ARRET POLICE PARCELLES,POINT (-17.4410409 14.7503999)
,POINT (-17.4496372 14.7504075)
,POINT (-17.4890139 14.750514)
,POINT (-17.465075 14.7507031)
,POINT (-17.4465134 14.7507912)
,POINT (-17.4523487 14.7509898)
,POINT (-17.4884121 14.7510573)
,POINT (-17.4463771 14.7510963)
,POINT (-17.4559995 14.7513002)
,POINT (-17.4560503 14.7513781)
,POINT (-17.4541757 14.7518506)
ARRET CITE SOPRIM,POINT (-17.4366257 14.7518652)
,POINT (-17.4931153 14.7519786)
ARRET CITE SOPRIM,POINT (-17.4362465 14.7522522)
,POINT (-17.4934814 14.7527632)
Arrêt DDD L23,POINT (-17.4351526 14.7538047)
,POINT (-17.4965176 14.7537572)
ARRET 22,POINT (-17.4337351 14.7537739)
,POINT (-17.4466517 14.754016)
,POINT (-17.4962435 14.7540906)
ARRET CASE BI,POINT (-17.4329962 14.7540589)
,POINT (-17.4868123 14.7541614)
,POINT (-17.487011 14.7543956)
,POINT (-17.446897 14.7544646)
,POINT (-17.4745416 14.7552231)
Arrêt rue PA-21-05,POINT (-17.4457662 14.755592)
,POINT (-17.4741892 14.7556592)
Arrêt PA U21,POINT (-17.4462618 14.7555965)
Arrêt Ecole Elite,POINT (-17.4357892 14.7556417)
Arret PA U08,POINT (-17.4356977 14.7557106)
,POINT (-17.4681105 14.7557442)
Arrêt PA U24,POINT (-17.4471002 14.7558066)
,POINT (-17.4671708 14.7558198)
,POINT (-17.4671822 14.7558753)
,POINT (-17.4701423 14.7559508)
Arrêt Terrain-Acapes,POINT (-17.4472442 14.7560153)
,POINT (-17.4438067 14.7560945)
,POINT (-17.4712023 14.7561093)
,POINT (-17.4750534 14.7561617)
Arrêt Rue Mame Abdou Aziz Sy,POINT (-17.442934 14.7561659)
,POINT (-17.4773998 14.7562395)
ARRET CASE BI,POINT (-17.4298612 14.7561852)
,POINT (-17.4733764 14.7564126)
,POINT (-17.474159 14.7566196)
Arrêt PA U17,POINT (-17.4402797 14.7567899)
,POINT (-17.4778475 14.7569209)
,POINT (-17.4391782 14.756932)
,POINT (-17.4664801 14.75702)
,POINT (-17.4665082 14.7570502)
Arrêt PA U 13,POINT (-17.4371918 14.7573403)
Arrêt Mairie Parcelles Assainies,POINT (-17.4369906 14.757473)
,POINT (-17.4656867 14.7584613)
,POINT (-17.4655717 14.7585829)
,POINT (-17.4291683 14.7586742)
Arrêt Chez Joe,POINT (-17.4484495 14.758819)
,POINT (-17.4363713 14.7588649)
,POINT (-17.482319 14.7589183)
Arrêt DDD L23,POINT (-17.4508272 14.758949)
Arrêt Croisement BrioheD'orée Diamalaye,POINT (-17.4510514 14.7589589)
Arrêt école Dior,POINT (-17.4471448 14.7590235)
,POINT (-17.4825116 14.7591249)
,POINT (-17.4526044 14.7594648)
Arrêt  PA U20,POINT (-17.4444913 14.7595475)
,POINT (-17.4579692 14.7595621)
,POINT (-17.4523611 14.7595631)
Arrêt PA U19,POINT (-17.4482103 14.7604762)
,POINT (-17.4629371 14.7596749)
,POINT (-17.4614023 14.7596927)
,POINT (-17.458577 14.7597215)
,POINT (-17.4626912 14.75973)
Arrêt Parcelles U20,POINT (-17.4436344 14.7598113)
Arrêt Parcelles U17,POINT (-17.4412137 14.7601966)
Arrêt Parcelles U16,POINT (-17.4407327 14.7603778)
,POINT (-17.4376822 14.7609468)
,POINT (-17.4374258 14.7610729)
Arrêt PA U23,POINT (-17.4482508 14.7612249)
,POINT (-17.4369089 14.761341)
Arrêt croisement Diamalaye-HLM Grand Medine,POINT (-17.4505563 14.7613501)
,POINT (-17.4297053 14.7615654)
Arrêt Ecole Elementaire,POINT (-17.4496769 14.7615744)
ligne 23 DDD,POINT (-17.4488446 14.761637)
,POINT (-17.4471612 14.7627153)
,POINT (-17.4471032 14.7628108)
,POINT (-17.4372684 14.763146)
,POINT (-17.4374054 14.7632345)
,POINT (-17.4437128 14.7634113)
,POINT (-17.4437019 14.7635263)
,POINT (-17.4400067 14.7641799)
,POINT (-17.4400021 14.764266)
,POINT (-17.4300858 14.7648655)
,POINT (-17.4299093 14.7694006)
,POINT (-17.4299974 14.7694395)
,POINT (-17.4282784 14.7703529)
,POINT (-17.4282768 14.7703948)
,POINT (-17.4248349 14.7706098)
,POINT (-17.424887 14.7706327)
,POINT (-17.4230785 14.7709572)
,POINT (-17.4227926 14.7711325)
,POINT (-17.4212498 14.7723201)
,POINT (-17.4210349 14.7725234)
,POINT (-17.4194452 14.7730721)
,POINT (-17.418291 14.7734182)
,POINT (-17.4880224 14.7281264)
,POINT (-17.4372388 14.6835741)
,POINT (-17.4366379 14.6866177)
,POINT (-17.4360354 14.6874578)
,POINT (-17.4445699 14.6978423)
,POINT (-17.4385361 14.6978801)
,POINT (-17.4390532 14.6980434)
,POINT (-17.4687186 14.6986541)
,POINT (-17.4368745 14.699719)
,POINT (-17.4701113 14.6999576)
,POINT (-17.4366309 14.700289)
,POINT (-17.4688285 14.7010565)
,POINT (-17.4730557 14.7022496)
Deuxième porte Mermoz,POINT (-17.4733993 14.7027722)
,POINT (-17.4359178 14.7032422)
,POINT (-17.4468801 14.7033062)
,POINT (-17.4469904 14.7035585)
,POINT (-17.4702192 14.7046508)
,POINT (-17.4634205 14.704813)
,POINT (-17.4699749 14.7055116)
,POINT (-17.4519536 14.7057205)
,POINT (-17.4786676 14.7057375)
,POINT (-17.446671 14.7063809)
,POINT (-17.465049 14.7066147)
,POINT (-17.4468027 14.7067245)
,POINT (-17.4350647 14.707182)
,POINT (-17.4662402 14.7077655)
,POINT (-17.4593132 14.7079872)
,POINT (-17.4807072 14.7082078)
,POINT (-17.4528395 14.7083993)
,POINT (-17.4813822 14.7087827)
,POINT (-17.4712905 14.7090432)
,POINT (-17.4708659 14.7092798)
,POINT (-17.4464776 14.7094342)
,POINT (-17.4807323 14.7106303)
,POINT (-17.4465294 14.7107288)
,POINT (-17.4718828 14.7117859)
,POINT (-17.4776326 14.7119073)
,POINT (-17.4774732 14.7122868)
,POINT (-17.446282 14.7124355)
,POINT (-17.4609466 14.7125995)
,POINT (-17.4464024 14.7125868)
,POINT (-17.4623919 14.7127505)
,POINT (-17.4612136 14.7128349)
,POINT (-17.4622302 14.7130246)
,POINT (-17.4551338 14.713857)
,POINT (-17.4539967 14.7139766)
,POINT (-17.4547329 14.7139824)
,POINT (-17.4733954 14.7141799)
,POINT (-17.473733 14.7142181)
,POINT (-17.4819844 14.7146611)
,POINT (-17.4531973 14.7151059)
Arret Terrain Sacre coeur,POINT (-17.4654538 14.715238)
,POINT (-17.4603043 14.7153309)
,POINT (-17.465288 14.7155583)
Arret Sacre coeur - BEM,POINT (-17.4663872 14.7156395)
,POINT (-17.4830728 14.7156545)
,POINT (-17.4460939 14.7157229)
,POINT (-17.4597468 14.71573)
,POINT (-17.4704548 14.7159191)
,POINT (-17.4700585 14.7160514)
,POINT (-17.4461722 14.7162015)
Arret sacré coeur - BEM,POINT (-17.4663856 14.7163545)
,POINT (-17.4560585 14.7165293)
Arret College sacre coeur,POINT (-17.4640648 14.7167429)
,POINT (-17.4557191 14.7168467)
,POINT (-17.4847422 14.7169689)
,POINT (-17.4673452 14.7173775)
,POINT (-17.4582692 14.7173654)
,POINT (-17.4860079 14.7173997)
,POINT (-17.4509834 14.7174249)
,POINT (-17.4582746 14.7174878)
,POINT (-17.4634261 14.7176779)
,POINT (-17.4670066 14.7177996)
,POINT (-17.4710771 14.7181804)
,POINT (-17.4561966 14.7182202)
,POINT (-17.4626316 14.7183385)
,POINT (-17.4567156 14.718377)
,POINT (-17.4327026 14.7184255)
,POINT (-17.4503465 14.7184398)
,POINT (-17.4883156 14.718557)
,POINT (-17.4887147 14.7186436)
,POINT (-17.4869451 14.7187632)
,POINT (-17.4546501 14.7188566)
,POINT (-17.4537142 14.7190723)
,POINT (-17.4901402 14.7195085)
Arret 2 voies Sacré coeur,POINT (-17.4650039 14.7196363)
,POINT (-17.4902944 14.7197868)
Arret 2 voies sacré coeur,POINT (-17.4650702 14.7199844)
,POINT (-17.4468148 14.7201805)
,POINT (-17.4484049 14.7203631)
,POINT (-17.4606305 14.7204943)
,POINT (-17.4574043 14.7205659)
,POINT (-17.4570177 14.7206161)
,POINT (-17.4606429 14.7207755)
,POINT (-17.4318413 14.7210135)
,POINT (-17.485812 14.7209994)
,POINT (-17.4482308 14.7215217)
,POINT (-17.4533231 14.7216275)
,POINT (-17.4874542 14.7216835)
,POINT (-17.487618 14.7220455)
,POINT (-17.4365836 14.7221307)
,POINT (-17.4504479 14.7221732)
Arret JVC,POINT (-17.463973 14.7222542)
,POINT (-17.4468173 14.7222251)
,POINT (-17.4707385 14.7222886)
,POINT (-17.4627003 14.7222878)
Arret JVC,POINT (-17.4638958 14.7223125)
,POINT (-17.484492 14.7225027)
,POINT (-17.4712087 14.7225643)
,POINT (-17.4627602 14.7225642)
,POINT (-17.4525252 14.7225869)
,POINT (-17.455286 14.7228747)
,POINT (-17.4583504 14.7228925)
,POINT (-17.4584512 14.722935)
,POINT (-17.4463499 14.7232153)
,POINT (-17.4308193 14.7232211)
Arret brioche dorée Liberté 6,POINT (-17.4652817 14.7233511)
Arret brioche dorée Liberté 6,POINT (-17.4652062 14.7233982)
,POINT (-17.4529776 14.72347)
37,POINT (-17.4382866 14.7235614)
,POINT (-17.4530524 14.7240811)
,POINT (-17.4833228 14.7241496)
,POINT (-17.4610569 14.7243526)
,POINT (-17.4603588 14.7245668)
,POINT (-17.4570776 14.7246076)
,POINT (-17.4297204 14.7249815)
,POINT (-17.4880605 14.7250754)
,POINT (-17.4882418 14.7254762)
,POINT (-17.4448868 14.7255696)
Arret Pharmacie,POINT (-17.4827764 14.7256037)
,POINT (-17.4294773 14.7256911)
,POINT (-17.4526697 14.72577)
