id,name,lat,lon
4323838507,,14.7348828,-17.4730452
4323838508,,14.7351706,-17.4560045
4323838509,,14.7351958,-17.4615452
4323838510,,14.735423,-17.5087949
4323838511,Arrêt Credit Mutuel,14.7354522,-17.455744
4323838512,,14.7357947,-17.4733169
4323838513,,14.735806,-17.4609084
4323838514,,14.7367457,-17.4452548
4323838515,,14.7367617,-17.4450984
4323838516,,14.7377573,-17.4656438
4323838517,,14.7381489,-17.4655507
4323838518,,14.7382712,-17.4590123
4323838519,,14.7381756,-17.4589334
4323838520,,14.7384341,-17.4433343
4323838521,,14.7384641,-17.4431547
4323838522,Arrêt Sen Carreaux 2000,14.7387536,-17.4541104
4323838523,,14.7389544,-17.5100541
4323838524,,14.7394378,-17.5101102
4323838525,,14.7395481,-17.4686992
4323838526,Arrêt Mosquée Arafat5,14.7396452,-17.4532981
4323838527,,14.739886,-17.4686121
4323838528,,14.7399196,-17.4714007
4323838529,,14.7401543,-17.4717586
4323838530,,14.7402156,-17.4573675
4323838531,,14.7406364,-17.4568789
4323838532,,14.7415756,-17.4514354
4323838533,,14.7420478,-17.450522
4323838534,,14.7423711,-17.4502809
4323838535,,14.742548,-17.4553236
4323838536,,14.742562,-17.4428146
4323838537,,14.7426107,-17.4426507
4323838538,,14.7427868,-17.4702049
4323838539,,14.742791,-17.4552786
4323838540,,14.7428587,-17.4485287
4323838541,ARRET JARDIN PATTE D'OIE,14.7430073,-17.4435518
4323838542,ARRET JARDIN PATTE D'OIE,14.743365,-17.4437747
4323838543,,14.7443194,-17.4512197
4323838544,,14.744412,-17.4501218
4323838545,,14.7449,-17.4690971
4323838546,,14.7446856,-17.5123799
4323838547,,14.7447118,-17.5123566
4323838548,,14.7449696,-17.4552925
4323838549,Telenco,14.7451462,-17.4547695
4323838550,,14.7460636,-17.443079
4323838551,,14.746175,-17.4668121
4323838552,,14.746366,-17.5095772
4323838553,,14.7465748,-17.5131596
4323838554,,14.746577,-17.4662977
4323838555,ARRET CITE MONTAGNE PARCELLES,14.7462716,-17.4456089
4323838556,ARRET CITE MONTAGNE PARCELLES,14.7469855,-17.4453966
4323838557,,14.7481037,-17.5076943
4323838558,,14.7481252,-17.4902804
4323838559,,14.7484281,-17.514309
4323838560,ARRET TALLY BOU BESS PARCELLES,14.7485016,-17.4438396
4323838561,ARRET TALLY BOU BESS PARCELLES,14.748502,-17.4440421
4323838562,,14.7489545,-17.4912109
4323838563,,14.7490052,-17.5065781
4323838564,,14.7496337,-17.5050898
4323838565,,14.7498692,-17.4472462
4323838567,,14.7500365,-17.4476287
4323838568,,14.7502388,-17.4578768
4323838569,,14.7502665,-17.4493677
4323838570,,14.7503656,-17.4574637
4323838571,ARRET POLICE PARCELLES,14.7503782,-17.4406336
4323838572,ARRET POLICE PARCELLES,14.7503999,-17.4410409
4323838573,,14.7504075,-17.4496372
4323838574,,14.750514,-17.4890139
4323838576,,14.7507031,-17.465075
4323838577,,14.7507912,-17.4465134
4323838578,,14.7509898,-17.4523487
4323838579,,14.7510573,-17.4884121
4323838580,,14.7510963,-17.4463771
4323838581,,14.7513002,-17.4559995
