id,name,lat,lon
60812269,,14.7562887,-17.4772887
1240459473,,14.7504934,-17.4889885
4323838574,,14.750514,-17.4890139
4323838579,,14.7510573,-17.4884121
4323839194,,14.7541614,-17.4868123
4323839195,,14.7543956,-17.487011
4323839197,,14.7552231,-17.4745416
4323839199,,14.7556592,-17.4741892
4323839211,,14.7561617,-17.4750534
4323839213,,14.7562395,-17.4773998
4323839216,,14.7566196,-17.474159
4323839218,,14.7569209,-17.4778475
5049096094,,14.7553578,-17.4746264
5062287537,Maire de Yoff,14.7554731,-17.4745059
5062287538,,14.7568931,-17.4778399
5062287540,Ligne 8,14.7543344,-17.4869433
5062287541,Ligne 8,14.7541735,-17.4868789
5062287542,,14.7509923,-17.4885218
