id,type,name,category,latitude,longitude
3962190670,node,（名称不明）,bus_stop,14.7464815,-17.4046554
3962190808,node,（名称不明）,bus_stop,14.7468568,-17.4081537
3962191361,node,（名称不明）,bus_stop,14.746774,-17.404857
3962630677,node,（名称不明）,bus_stop,14.675201,-17.4533282
3965135057,node,（名称不明）,bus_stop,14.7193278,-17.4714819
4044836611,node,（名称不明）,bus_stop,14.7399054,-17.4717838
4044837299,node,（名称不明）,bus_stop,14.7400525,-17.4714484
4044890993,node,（名称不明）,bus_stop,14.7398644,-17.4687826
4044891090,node,Arrêt de Bus Tata,bus_stop,14.7295953,-17.4580511
4044891091,node,（名称不明）,bus_stop,14.7377609,-17.465412
4044891189,node,（名称不明）,bus_stop,14.7381593,-17.4657239
4109925391,node,Arrêt Bus 72 Cité Air France Kounoune.,bus_stop,14.7634562,-17.2601336
4209977299,node,terminus Diamalaye,bus_stop,14.7596385,-17.4527135
4223949589,node,（名称不明）,bus_stop,14.7076639,-17.4347978
4223949590,node,（名称不明）,bus_stop,14.7106466,-17.4339806
4223949591,node,（名称不明）,bus_stop,14.7128526,-17.4336301
4223949593,node,（名称不明）,bus_stop,14.7195663,-17.4336302
4223949594,node,（名称不明）,bus_stop,14.7209181,-17.4350831
4223949596,node,Arret DDD,bus_stop,14.7222751,-17.4366184
4223949598,node,（名称不明）,bus_stop,14.7243785,-17.4378165
4223949599,node,Arret DDD,bus_stop,14.7256872,-17.4294771
4223959275,node,（名称不明）,bus_stop,14.7029501,-17.4361645
4223959276,node,（名称不明）,bus_stop,14.7076185,-17.4349135
4223959277,node,（名称不明）,bus_stop,14.7128794,-17.4338033
4223959278,node,（名称不明）,bus_stop,14.7198561,-17.4323356
4223959279,node,（名称不明）,bus_stop,14.7204872,-17.434832
4223959280,node,（名称不明）,bus_stop,14.7233694,-17.43082
4223959281,node,（名称不明）,bus_stop,14.720335,-17.4377619
4223959282,node,（名称不明）,bus_stop,14.7243431,-17.4379887
4223959283,node,（名称不明）,bus_stop,14.7309525,-17.4238241
4223959284,node,（名称不明）,bus_stop,14.7331418,-17.4202466
4231306091,node,32,bus_stop,14.7421702,-17.3754208
4234120889,node,（名称不明）,bus_stop,14.7209996,-17.4317379
4234120892,node,（名称不明）,bus_stop,14.7297491,-17.4255391
4234120893,node,（名称不明）,bus_stop,14.7309057,-17.4235858
4234120894,node,（名称不明）,bus_stop,14.7335351,-17.4191894
4234120895,node,Yarakh,bus_stop,14.7354486,-17.4161783
4234120896,node,Yarakh,bus_stop,14.7355984,-17.4162012
4241761696,node,gare serigne mourtala,bus_stop,14.7605525,-17.4295313
4254567083,node,（名称不明）,bus_stop,14.6688821,-17.1091339
4254567206,node,（名称不明）,bus_stop,14.6702547,-17.1102443
4254567222,node,（名称不明）,bus_stop,14.6720749,-17.112775
4254567392,node,（名称不明）,bus_stop,14.674911,-17.1177035
4254567406,node,（名称不明）,bus_stop,14.6751925,-17.1184546
4254567495,node,（名称不明）,bus_stop,14.6799005,-17.1257247
4254567526,node,（名称不明）,bus_stop,14.6805777,-17.1264194
4254567730,node,（名称不明）,bus_stop,14.6826132,-17.1293846
4254567766,node,（名称不明）,bus_stop,14.6837159,-17.1306264
4258281389,node,（名称不明）,bus_stop,14.7000011,-17.4687975
4305613595,node,Arrêt bus AFTU,bus_stop,14.7123449,-17.4555452
4305613596,node,Dakar Dem Dikk,bus_stop,14.7103599,-17.4535166
4323807978,node,（名称不明）,bus_stop,14.7270333,-17.4829157
4323807979,node,（名称不明）,bus_stop,14.7271022,-17.4831566
4323807980,node,（名称不明）,bus_stop,14.7273725,-17.485296
4323807981,node,（名称不明）,bus_stop,14.727429,-17.4852022
4323807982,node,（名称不明）,bus_stop,14.7275147,-17.4504501
4323807983,node,（名称不明）,bus_stop,14.7277439,-17.4881273
4323807984,node,（名称不明）,bus_stop,14.728102,-17.4879707
4323807985,node,Arrêt Limite Khar YALLA,bus_stop,14.7281273,-17.4531514
4323807986,node,（名称不明）,bus_stop,14.7292485,-17.4463871
4323807987,node,（名称不明）,bus_stop,14.7293903,-17.491141
4323807988,node,（名称不明）,bus_stop,14.7296843,-17.4925647
4323838489,node,（名称不明）,bus_stop,14.7296803,-17.4582078
4323838490,node,（名称不明）,bus_stop,14.7299174,-17.4579721
4323838491,node,（名称不明）,bus_stop,14.7304528,-17.4464314
4323838492,node,（名称不明）,bus_stop,14.73069,-17.4947442
4323838493,node,Arret Rond Point 6,bus_stop,14.7308875,-17.4565734
4323838494,node,（名称不明）,bus_stop,14.7310037,-17.4936008
4323838495,node,Arrêt Khar Yalla,bus_stop,14.7311092,-17.4566575
4323838496,node,（名称不明）,bus_stop,14.7316664,-17.4951195
4323838497,node,（名称不明）,bus_stop,14.7317885,-17.4594349
4323838498,node,（名称不明）,bus_stop,14.7319838,-17.4600071
4323838499,node,（名称不明）,bus_stop,14.7323064,-17.446184
4323838500,node,（名称不明）,bus_stop,14.73247,-17.4462797
4323838501,node,（名称不明）,bus_stop,14.7324566,-17.4929819
4323838502,node,（名称不明）,bus_stop,14.7336896,-17.4613669
4323838503,node,（名称不明）,bus_stop,14.7339096,-17.4460673
4323838504,node,（名称不明）,bus_stop,14.7342296,-17.461321
4323838505,node,（名称不明）,bus_stop,14.7345017,-17.4461626
4323838506,node,（名称不明）,bus_stop,14.7346495,-17.508795
4323838507,node,（名称不明）,bus_stop,14.7348828,-17.4730452
4323838508,node,（名称不明）,bus_stop,14.7351706,-17.4560045
4323838509,node,（名称不明）,bus_stop,14.7351958,-17.4615452
4323838510,node,（名称不明）,bus_stop,14.735423,-17.5087949
4323838511,node,Arrêt Credit Mutuel,bus_stop,14.7354522,-17.455744
4323838512,node,（名称不明）,bus_stop,14.7357947,-17.4733169
4323838513,node,（名称不明）,bus_stop,14.735806,-17.4609084
4323838514,node,（名称不明）,bus_stop,14.7367457,-17.4452548
4323838515,node,（名称不明）,bus_stop,14.7367617,-17.4450984
4323838516,node,（名称不明）,bus_stop,14.7377573,-17.4656438
4323838517,node,（名称不明）,bus_stop,14.7381489,-17.4655507
4323838518,node,（名称不明）,bus_stop,14.7382712,-17.4590123
4323838519,node,（名称不明）,bus_stop,14.7381756,-17.4589334
4323838520,node,（名称不明）,bus_stop,14.7384341,-17.4433343
4323838521,node,（名称不明）,bus_stop,14.7384641,-17.4431547
